Date,Open,High,Low,Close,Volume,Adj Close
2010-11-17,142.490005,142.490005,141.389999,141.949997,4785900,121.679922
2010-11-16,142.929993,143.380005,141.179993,142.240005,6342100,121.928518
2010-11-15,143.889999,144.75,143.270004,143.639999,3827700,123.128597
2010-11-12,144.589996,145.770004,143.550003,143.740005,4731500,123.214322
2010-11-11,144.699997,145.50,143.350006,145.429993,4752200,124.662984
2010-11-10,146.089996,146.789993,145.630005,146.550003,5172000,125.62306
2010-11-09,146.699997,147.529999,145.630005,146.139999,5700600,125.271603
2010-11-08,145.350006,146.580002,145.25,146.460007,4459700,125.545914
2010-11-05,145.940002,146.929993,145.669998,146.919998,4995800,125.38304
2010-11-04,144.820007,146.839996,144.710007,146.789993,6622500,125.272093
2010-11-03,144.240005,144.460007,142.630005,144.169998,5182100,123.036162
2010-11-02,143.850006,144.710007,143.710007,143.839996,4626400,122.754535
2010-11-01,143.639999,144.259995,142.320007,143.320007,5674600,122.310771
2010-10-29,140.899994,144.00,140.75,143.600006,8439300,122.549725
2010-10-28,141.839996,141.949997,140.419998,140.899994,5481600,120.245507
2010-10-27,139.520004,141.570007,139.00,141.429993,6465300,120.697813
2010-10-26,139.289993,142.00,138.529999,140.669998,7327100,120.049226
2010-10-25,140.419998,141.399994,139.809998,139.839996,4870000,119.340894
2010-10-22,140.149994,140.75,139.460007,139.669998,4105300,119.195816
2010-10-21,139.809998,140.490005,138.399994,139.830002,6221200,119.332364
2010-10-20,138.279999,139.869995,138.130005,139.070007,6945500,118.683777
2010-10-19,137.300003,139.339996,136.699997,138.029999,14159100,117.796223
2010-10-18,140.899994,143.029999,140.839996,142.830002,10322700,121.892595
2010-10-15,142.100006,142.100006,140.539993,141.059998,7220400,120.382055
2010-10-14,140.350006,141.50,139.690002,141.50,5653100,120.757558
2010-10-13,139.910004,141.479996,139.779999,140.369995,8784300,119.7932
2010-10-12,138.399994,139.990005,138.270004,139.850006,5637300,119.349436
2010-10-11,138.789993,139.940002,138.639999,139.660004,4004300,119.187286
2010-10-08,138.399994,139.089996,138.059998,138.850006,4540800,118.496026
2010-10-07,137.919998,138.880005,137.520004,138.720001,6440800,118.385078
2010-10-06,136.880005,137.960007,136.830002,137.839996,4783000,117.634073
2010-10-05,136.179993,137.899994,136.119995,137.660004,6202500,117.480466
2010-10-04,135.229996,135.919998,134.389999,135.25,4059900,115.423744
2010-10-01,135.509995,136.279999,135.089996,135.639999,5621200,115.756573
2010-09-30,135.50,136.110001,133.669998,134.139999,6425800,114.476458
2010-09-29,134.399994,135.800003,134.339996,135.479996,5151200,115.620024
2010-09-28,134.669998,135.139999,133.710007,134.889999,7481300,115.116515
2010-09-27,133.509995,135.00,133.509995,134.649994,6155400,114.911692
2010-09-24,132.419998,134.149994,132.339996,134.110001,7122400,114.450856
2010-09-23,131.419998,132.779999,131.220001,131.669998,3898800,112.368533
2010-09-22,131.610001,132.580002,131.399994,132.570007,4922400,113.13661
2010-09-21,131.449997,132.800003,130.779999,131.979996,5267900,112.633088
2010-09-20,130.240005,132.089996,130.110001,131.789993,7145500,112.470938
2010-09-17,129.919998,130.600006,129.699997,130.190002,10397400,111.10549
2010-09-16,129.199997,129.949997,128.800003,129.669998,4685000,110.661713
2010-09-15,128.649994,129.960007,128.539993,129.429993,4762500,110.456889
2010-09-14,128.429993,129.919998,128.429993,128.850006,4850500,109.961923
2010-09-13,128.630005,130.00,128.520004,129.610001,5271300,110.61051
2010-09-10,126.989998,128.289993,126.260002,127.989998,4418700,109.227983
2010-09-09,127.269997,127.57,126.150002,126.360001,3436700,107.836926
2010-09-08,126.019997,126.519997,125.389999,126.080002,4477500,107.597973
2010-09-07,126.989998,127.360001,125.879997,125.949997,4353300,107.487025
2010-09-03,126.220001,127.599998,125.900002,127.580002,5142900,108.878088
2010-09-02,126.029999,126.230003,124.650002,125.040001,5103300,106.710425
2010-09-01,125.309998,126.309998,124.519997,125.769997,5623100,107.333411
2010-08-31,123.309998,123.989998,122.279999,123.129997,5624200,105.080408
2010-08-30,125.080002,125.269997,123.400002,123.400002,3604000,105.310833
2010-08-27,123.830002,124.800003,122.419998,124.730003,6214200,106.44587
2010-08-26,125.779999,125.779999,122.779999,122.779999,7746600,104.781716
2010-08-25,124.57,125.599998,124.00,125.269997,5235300,106.906706
2010-08-24,125.209999,126.019997,124.57,124.900002,5621200,106.590948
2010-08-23,127.57,128.029999,126.440002,126.470001,4034400,107.930802
2010-08-20,128.720001,128.979996,126.959999,127.50,6246300,108.809814
2010-08-19,128.669998,129.589996,128.020004,128.899994,5402400,110.004583
2010-08-18,128.869995,130.199997,127.800003,129.389999,4883200,110.422759
2010-08-17,128.830002,129.850006,127.900002,128.449997,4298300,109.620551
2010-08-16,127.470001,128.229996,126.959999,127.769997,4009200,109.040232
2010-08-13,127.959999,128.460007,127.330002,127.870003,4669400,109.125578
2010-08-12,127.690002,128.779999,127.519997,128.300003,5132200,109.492545
2010-08-11,130.690002,130.690002,129.460007,129.830002,6316100,110.798261
2010-08-10,131.179993,132.490005,130.770004,131.839996,5471700,112.513611
2010-08-09,130.789993,132.339996,130.399994,132.00,6131700,112.65016
2010-08-06,130.410004,130.479996,128.759995,130.139999,6136200,111.062816
2010-08-05,130.729996,131.979996,130.529999,131.830002,4520600,111.950369
2010-08-04,130.460007,131.50,129.850006,131.270004,4567500,111.474818
2010-08-03,130.029999,131.039993,129.330002,130.369995,5091800,110.710528
2010-08-02,129.25,131.199997,129.25,130.759995,6437500,111.041716
