Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,73.160004,73.510002,73.019997,73.120003,15273700,61.019293
2010-12-30,73.290001,73.510002,73.050003,73.360001,10790400,61.219573
2010-12-29,73.410004,73.690002,73.339996,73.370003,11797700,61.22792
2010-12-28,73.199997,73.559998,72.959999,73.419998,14423400,61.269642
2010-12-27,72.809998,73.300003,72.809998,73.010002,9757200,60.927496
2010-12-23,72.940002,73.199997,72.830002,73.199997,11390900,61.086049
2010-12-22,72.940002,73.00,72.650002,72.800003,14606600,60.75225
2010-12-21,72.43,72.970001,72.230003,72.720001,21772800,60.685488
2010-12-20,72.239998,72.50,71.879997,72.220001,16045800,60.268233
2010-12-17,72.110001,72.389999,71.779999,72.169998,36761300,60.226505
2010-12-16,71.919998,72.330002,71.57,72.220001,18513900,60.268233
2010-12-15,71.870003,72.309998,71.790001,71.849998,20979000,59.959463
2010-12-14,72.230003,72.50,71.93,72.18,20625900,60.234852
2010-12-13,72.410004,72.75,72.07,72.360001,21170500,60.385064
2010-12-10,72.18,72.18,71.620003,72.18,17699500,60.234852
2010-12-09,72.050003,72.139999,71.330002,72.00,17971600,60.084641
2010-12-08,71.870003,72.220001,71.480003,71.849998,22654900,59.959463
2010-12-07,71.910004,72.18,71.419998,71.459999,23694600,59.634005
2010-12-06,71.199997,71.599998,71.059998,71.309998,15985400,59.508827
2010-12-03,71.010002,71.300003,70.889999,71.190002,19457100,59.40869
2010-12-02,71.190002,71.660004,70.949997,71.480003,21274800,59.650699
2010-12-01,70.379997,71.550003,70.379997,71.330002,26590200,59.525521
2010-11-30,68.550003,69.75,68.32,69.559998,27524300,58.048437
2010-11-29,68.860001,69.639999,68.300003,69.449997,20021200,57.95664
2010-11-26,69.300003,69.43,68.900002,69.230003,7324600,57.773054
2010-11-24,69.25,70.00,69.190002,69.879997,19335600,58.315479
2010-11-23,68.800003,69.150002,68.32,68.980003,22672000,57.564426
2010-11-22,70.099998,70.300003,68.790001,70.190002,18907900,58.574181
2010-11-19,70.199997,70.589996,69.360001,70.540001,24116400,58.866258
2010-11-18,69.650002,70.389999,69.639999,70.309998,18322900,58.674318
2010-11-17,68.839996,69.379997,68.559998,69.010002,17471800,57.589461
2010-11-16,69.620003,69.82,68.559998,68.940002,27543400,57.531045
2010-11-15,71.010002,71.220001,70.440002,70.480003,18779600,58.81619
2010-11-12,71.379997,71.400002,70.43,70.989998,24598100,59.241785
2010-11-11,71.00,71.900002,70.730003,71.830002,23788900,59.942776
2010-11-10,70.959999,71.160004,70.150002,71.129997,25482400,59.358615
2010-11-09,70.290001,71.110001,70.099998,70.629997,33938100,58.941361
2010-11-08,69.489998,70.419998,69.459999,70.32,23628000,58.315482
2010-11-05,69.440002,70.00,69.400002,70.00,26531700,58.05011
2010-11-04,68.400002,69.599998,68.290001,69.379997,31221400,57.53595
2010-11-03,68.230003,68.269997,67.32,67.970001,26545300,56.366658
2010-11-02,67.32,68.25,67.209999,67.839996,26192200,56.258847
2010-11-01,66.720001,67.209999,66.629997,66.949997,22372700,55.520782
2010-10-29,66.099998,66.559998,65.989998,66.489998,19265600,55.13931
2010-10-28,66.43,66.699997,66.050003,66.220001,20464200,54.915405
2010-10-27,65.949997,65.989998,65.089996,65.669998,23358900,54.459295
2010-10-26,65.959999,66.57,65.809998,66.529999,17652900,55.172482
2010-10-25,66.68,66.809998,66.160004,66.199997,16516600,54.898816
2010-10-22,66.510002,66.550003,66.129997,66.339996,13332800,55.014916
2010-10-21,66.290001,66.800003,65.650002,66.32,21291200,54.998333
2010-10-20,65.470001,66.389999,65.349998,66.010002,20543900,54.741256
2010-10-19,65.589996,66.040001,64.589996,65.120003,25367400,54.003191
2010-10-18,65.190002,66.540001,65.029999,66.279999,22481700,54.965161
2010-10-15,65.639999,65.650002,64.82,65.190002,25500700,54.06124
2010-10-14,65.050003,65.449997,64.870003,65.300003,17778100,54.152463
2010-10-13,64.839996,65.290001,64.57,65.040001,22560500,53.936846
2010-10-12,64.309998,64.889999,63.93,64.699997,20732000,53.654885
2010-10-11,64.360001,64.809998,64.309998,64.550003,13848900,53.530497
2010-10-08,63.810001,64.529999,63.630001,64.379997,22370500,53.389513
2010-10-07,63.959999,64.00,63.369999,63.849998,19468400,52.949992
2010-10-06,63.18,63.939999,63.18,63.939999,21645200,53.024628
2010-10-05,62.59,63.400002,62.43,63.259998,25185400,52.460713
2010-10-04,62.52,62.73,61.84,62.189999,16902500,51.573375
2010-10-01,62.32,62.580002,61.799999,62.540001,24160200,51.863628
2010-09-30,61.950001,62.439999,61.470001,61.790001,25460200,51.241662
2010-09-29,61.77,62.02,61.27,61.59,21158000,51.075804
2010-09-28,61.630001,62.259998,61.27,62.060001,18806700,51.46557
2010-09-27,61.990002,62.080002,61.68,61.709999,16642800,51.175318
2010-09-24,61.509998,62.130001,61.360001,61.75,25145300,51.20849
2010-09-23,60.990002,61.57,60.900002,61.150002,18097800,50.710919
2010-09-22,61.560001,62.00,61.41,61.450001,18207700,50.959705
2010-09-21,61.650002,61.900002,61.25,61.540001,20525200,51.034341
2010-09-20,61.040001,61.82,60.950001,61.549999,21788100,51.042632
2010-09-17,61.189999,61.299999,60.630001,60.779999,26447200,50.404081
2010-09-16,60.849998,60.990002,60.450001,60.970001,16432500,50.561647
2010-09-15,60.759998,61.029999,60.360001,61.00,18769900,50.586525
2010-09-14,60.84,61.34,60.75,61.009998,17977500,50.594816
2010-09-13,61.389999,61.52,60.540001,61.00,23141800,50.586525
2010-09-10,61.380001,61.48,60.950001,61.200001,14488400,50.752383
2010-09-09,61.50,61.59,60.91,61.049999,16525200,50.627988
2010-09-08,60.66,61.259998,60.630001,60.75,17380600,50.379203
2010-09-07,60.889999,61.07,60.450001,60.549999,19435700,50.213345
2010-09-03,61.200001,61.599998,60.75,61.32,21982900,50.851896
2010-09-02,60.490002,61.060001,60.369999,61.060001,18662600,50.636283
2010-09-01,60.040001,60.959999,59.720001,60.91,26286200,50.511889
2010-08-31,58.75,59.540001,58.50,59.110001,26985400,49.019172
2010-08-30,59.560001,59.900002,58.959999,59.00,16265100,48.92795
2010-08-27,58.720001,59.959999,58.049999,59.799999,28279500,49.591379
2010-08-26,59.360001,59.50,58.330002,58.48,22320900,48.49672
2010-08-25,58.689999,59.400002,58.419998,58.91,20944000,48.853314
2010-08-24,58.959999,59.450001,58.790001,58.939999,25679100,48.878192
2010-08-23,58.970001,60.049999,58.900002,59.50,21337700,49.342594
2010-08-20,59.02,59.07,58.549999,58.889999,21008800,48.836728
2010-08-19,59.93,60.060001,58.900002,59.290001,21174500,49.168444
2010-08-18,60.669998,60.720001,59.630001,60.150002,20071500,49.881632
2010-08-17,60.490002,61.16,60.139999,60.82,20122200,50.437253
